Freq.	V(n006)
8.12830516164092e+03	(-9.99105416019014e-01dB,1.79003932988250e+00∞)
8.31763771102664e+03	(-9.97832890762592e-01dB,1.71279629978702e+00∞)
8.51138038202369e+03	(-9.96474988750203e-01dB,1.63646446881561e+00∞)
8.70963589956073e+03	(-9.95028829660271e-01dB,1.56100276108132e+00∞)
8.91250938133738e+03	(-9.93491346344441e-01dB,1.48637057353479e+00∞)
9.12010839355902e+03	(-9.91859278323702e-01dB,1.41252775158354e+00∞)
9.33254300796983e+03	(-9.90129164877410e-01dB,1.33943456498806e+00∞)
9.54992586021428e+03	(-9.88297337710837e-01dB,1.26705168400674e+00∞)
9.77237220955802e+03	(-9.86359913185398e-01dB,1.19534015576433e+00∞)
1.00000000000000e+04	(-9.84312784095494e-01dB,1.12426138081679e+00∞)
